Informações por Cidades e Estados - Instituto Brasileiro de Geografia e Estatística 
Brasil 
Presidente - MICHEL MIGUEL ELIAS TEMER LULIA   [2017]
Nº de municípios - 5.570   [2016]
Capital - Brasília   [2010]
Área territorial - 8.515.759,090 km²   [2017]
População estimada - 208.494.900 pessoas   [2018]
Densidade demográfica - 22,43 hab/km²   [2010]
Escolarização 6 a 14 anos - 98,6 %   [2015]
Analfabetismo + 15 anos - 7,0 %   [2017]
Fecundidade - 1,72 filhos por mulher   [2015]
Mortalidade infantil - 13,3 óbitos por mil nascidos vivos   [2016]
PIB per capita - 28.876 R$   [2015]
Desocupação - 12,40 %   [2º trimestre 2018]
IPCA - mensal - -0,09 %   [agosto 2018]

Notas:
População estimada: Diferença de 772 pessoas entre os Estados do Piauí e Ceará com relação a Projeção da População para o Brasil e Unidades da Federação 2013, para o ano de 2017, em virtude de alteração de limites entre municípios na fronteira interestadual, Diferença de 441 pessoas entre os Estados de Alagoas e Pernambuco com relação a Projeção da População para o Brasil e Unidades da Federação 2013, para o ano de 2017, em virtude de alteração de limites entre municípios na fronteira interestadual
Fontes:
Área territorial: Área territorial brasileira. Rio de Janeiro: IBGE, 2018
População estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2017
Escolarização 6 a 14 anos: IBGE, Pesquisa Nacional por Amostra de Domicílios Contínua 2017
Analfabetismo + 15 anos: IBGE, Pesquisa Nacional por Amostra de Domicílios Contínua 2017
PIB per capita: IBGE, Diretoria de Pesquisas, Coordenação de Contas Nacionais
Desocupação: IBGE, Pesquisa Nacional por Amostra de Domicílios Contínua 2017
IPCA - mensal: IBGE, Índice Nacional de Preços ao Consumidor Amplo 2017
Fecundidade: IBGE, Projeção da População do Brasil 2013
Mortalidade infantil: IBGE, Projeção da População do Brasil 2013
