"estado","nome","codigo","codigomunicipioibge","codigoibge"
"GO","Adelandia",4,5420,"5200159"
"GO","Agua Fria de Goias",5,5463,"5200175"
"GO","Agua Limpa",6,5513,"5200209"
"GO","Vianopolis",40,5543,"5222005"
"GO","Bonfinopolis",41,5437,"5203559"
"GO","Pires do Rio",42,5538,"5217401"
"GO","Silvania",43,5541,"5220603"
"GO","Luziania",44,5472,"5212501"
"GO","Joviania",45,5523,"5212105"
"BA","Angical",46,1833,"2901403"
"GO","Orizona",47,5536,"5215306"
"GO","Ipameri",48,5551,"5210109"
"GO","Caldas Novas",49,5518,"5204508"
"CE","Nova Russas",50,989,"2309300"
"GO","Anapolis",51,5390,"5201108"
"GO","Pontalina",52,5529,"5217708"
"BA","Cocos",53,1842,"2908101"
"GO","Piracanjuba",54,5528,"5217104"
"GO","Inhumas",55,5397,"5210000"
"GO","Sao Luis de Montes Belos",56,5431,"5220108"
"GO","Goiania",57,5440,"5208707"
"MG","Dores do Indaia",58,2511,"3123205"
"MG","Quartel Geral",59,2519,"3153707"
"GO","Santa Helena de Goias",60,5496,"5219308"
"DF","Brasilia",62,5564,"5300108"
"GO","Ouro Verde de Goias",63,5405,"5215405"
"MA","Imperatriz",64,552,"2105302"
